=================== cloudesk serverlog ===================
Sun Feb 23 20:36:16 2020 |user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 20:37:45 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Tue Feb 25 00:24:27 2020  -  user: wk -  ls 
Tue Feb 25 00:24:32 2020  -  user: wk -  remove filee
Tue Feb 25 00:24:33 2020  -  user: wk -  ls 
Tue Feb 25 00:24:39 2020  -  user: wk -  puts filee
Tue Feb 25 00:28:22 2020  -  user: wk -  login 
Tue Feb 25 00:28:23 2020  -  user: wk -  ls 
Tue Feb 25 00:28:27 2020  -  user: wk -  cd 
Tue Feb 25 00:28:27 2020  -  user: wk -  ls 
Tue Feb 25 00:28:56 2020  -  user: wk -  login 
Tue Feb 25 00:28:58 2020  -  user: wk -  ls 
Tue Feb 25 00:28:59 2020  -  user: wk -  cd 
Tue Feb 25 00:29:42 2020  -  user: wk -  login 
Tue Feb 25 00:29:43 2020  -  user: wk -  ls 
Tue Feb 25 00:29:44 2020  -  user: wk -  cd 
Tue Feb 25 00:29:51 2020  -  user: wk -  ls 
Tue Feb 25 00:29:55 2020  -  user: wk -  cd 
Tue Feb 25 02:36:20 2020  -  user: wk -  login 
Tue Feb 25 02:39:43 2020  -  user: wk -  login 
Tue Feb 25 02:39:44 2020  -  user: wk -  ls 
Tue Feb 25 02:42:40 2020  -  user: wk -  login 
Tue Feb 25 02:43:14 2020  -  user: wk -  login 
Tue Feb 25 02:44:05 2020  -  user: wk -  login 
Tue Feb 25 02:48:06 2020  -  user: wk -  login 
Tue Feb 25 02:48:07 2020  -  user: wk -  ls 
Tue Feb 25 02:49:13 2020  -  user: wk -  login 
Tue Feb 25 02:49:13 2020  -  user: wk -  ls 
Tue Feb 25 02:49:16 2020  -  user: wk -  cd 
Tue Feb 25 02:49:18 2020  -  user: wk -  ls 
Tue Feb 25 02:49:22 2020  -  user: wk -  cd 
Tue Feb 25 02:49:22 2020  -  user: wk -  ls 
Tue Feb 25 02:52:54 2020  -  user: wk -  login 
Tue Feb 25 02:54:33 2020  -  user: wk -  login 
Tue Feb 25 02:54:34 2020  -  user: wk -  ls 
Tue Feb 25 02:54:36 2020  -  user: wk -  cd 
Tue Feb 25 02:56:42 2020  -  user: wk -  login 
Tue Feb 25 02:57:42 2020  -  user: wk -  login 
Tue Feb 25 02:58:40 2020  -  user: wk -  login 
Tue Feb 25 02:59:31 2020  -  user: wk -  login 
Tue Feb 25 02:59:32 2020  -  user: wk -  ls 
Tue Feb 25 03:01:38 2020  -  user: wk -  login 
Tue Feb 25 03:02:16 2020  -  user: wk -  login 
Tue Feb 25 03:03:53 2020  -  user: wk -  login 
Tue Feb 25 03:04:06 2020  -  user: wk -  login 
Tue Feb 25 03:06:19 2020  -  user: wk -  login 
Tue Feb 25 03:06:41 2020  -  user: wk -  login 
Tue Feb 25 03:06:42 2020  -  user: wk -  ls 
Tue Feb 25 03:06:44 2020  -  user: wk -  mkdir fff
Tue Feb 25 03:06:47 2020  -  user: wk -  ls 
Tue Feb 25 03:06:52 2020  -  user: wk -  cd 
Tue Feb 25 03:06:53 2020  -  user: wk -  ls 
Tue Feb 25 03:06:57 2020  -  user: wk -  mkdir fffw
Tue Feb 25 03:08:41 2020  -  user: wk -  login 
Tue Feb 25 03:08:41 2020  -  user: wk -  ls 
Tue Feb 25 03:08:43 2020  -  user: wk -  cd 
Tue Feb 25 03:08:43 2020  -  user: wk -  ls 
Tue Feb 25 03:08:49 2020  -  user: wk -  puts filee
Tue Feb 25 03:08:50 2020  -  user: wk -  ls 
Tue Feb 25 03:08:51 2020  -  user: wk -  cd 
Tue Feb 25 03:08:51 2020  -  user: wk -  ls 
Tue Feb 25 03:08:57 2020  -  user: wk -  puts filee
Tue Feb 25 03:08:58 2020  -  user: wk -  ls 
Tue Feb 25 03:09:01 2020  -  user: wk -  cd 
Tue Feb 25 03:09:03 2020  -  user: wk -  ls 
Tue Feb 25 03:20:35 2020  -  user: wk -  login 
Tue Feb 25 03:20:36 2020  -  user: wk -  ls 
Tue Feb 25 03:22:14 2020  -  user: wk -  login 
Tue Feb 25 03:26:54 2020  -  user: wk -  login 
Tue Feb 25 03:42:00 2020  -  user: wk -  login 
Tue Feb 25 03:42:01 2020  -  user: wk -  ls 
Tue Feb 25 03:42:03 2020  -  user: wk -  cd 
Tue Feb 25 03:42:04 2020  -  user: wk -  cd 
Tue Feb 25 03:44:42 2020  -  user: wk -  login 
Tue Feb 25 03:44:42 2020  -  user: wk -  ls 
Tue Feb 25 03:44:44 2020  -  user: wk -  exit 
Tue Feb 25 03:45:38 2020  -  user: wk -  login 
Tue Feb 25 03:46:22 2020  -  user: wk -  login 
Tue Feb 25 03:46:24 2020  -  user: wk -  exit 
Tue Feb 25 03:46:47 2020  -  user: wk -  login 
Tue Feb 25 03:46:49 2020  -  user: wk -  exit 
Tue Feb 25 03:47:45 2020  -  user: wk -  login 
Tue Feb 25 03:47:47 2020  -  user: wk -  exit  
Tue Feb 25 22:24:19 2020  -  user: wk -  login 
Tue Feb 25 22:40:44 2020  -  user: wk -  login 
Tue Feb 25 22:40:45 2020  -  user: wk -  ls 
Tue Feb 25 22:40:50 2020  -  user: wk -  puts file1
Tue Feb 25 22:41:24 2020  -  user: wk -  login 
Tue Feb 25 22:41:24 2020  -  user: wk -  ls 
Tue Feb 25 22:41:28 2020  -  user: wk -  cd 
Tue Feb 25 22:46:02 2020  -  user: wk -  login 
Tue Feb 25 22:46:03 2020  -  user: wk -  ls 
Tue Feb 25 22:49:06 2020  -  user: wk -  login 
Tue Feb 25 22:50:30 2020  -  user: wk -  login 
Tue Feb 25 22:52:56 2020  -  user: wk -  login 
Tue Feb 25 22:56:31 2020  -  user: wk -  login 
Tue Feb 25 22:56:32 2020  -  user: wk -  ls 
Tue Feb 25 22:56:36 2020  -  user: wk -  puts file
Tue Feb 25 23:06:03 2020  -  user: wk -  login 
Tue Feb 25 23:06:03 2020  -  user: wk -  ls 
Tue Feb 25 23:06:25 2020  -  user: wk -  login 
Tue Feb 25 23:06:31 2020  -  user: wk -  ls 
Tue Feb 25 23:09:20 2020  -  user: wk -  login 
Tue Feb 25 23:09:21 2020  -  user: wk -  ls 
Thu Feb 27 15:47:10 2020  -  user: wk -  login 
Thu Feb 27 15:47:13 2020  -  user: wk -  ls 
Thu Feb 27 15:48:46 2020  -  user: wk -  login 
Thu Feb 27 15:48:47 2020  -  user: wk -  ls 
Thu Feb 27 15:48:49 2020  -  user: wk -  cd 
Thu Feb 27 15:48:49 2020  -  user: wk -  ls 
Thu Feb 27 15:56:01 2020  -  user: wk -  login 
Thu Feb 27 15:56:01 2020  -  user: wk -  ls 
Thu Feb 27 15:56:08 2020  -  user: wk -  mkdir folder
Thu Feb 27 15:56:10 2020  -  user: wk -  ls 
Thu Feb 27 16:39:56 2020  -  user: wk -  login 
Thu Feb 27 16:39:57 2020  -  user: wk -  ls 
Thu Feb 27 16:40:05 2020  -  user: wk -  puts file
Thu Feb 27 16:40:05 2020  -  user: wk -  ls 
Thu Feb 27 16:44:23 2020  -  user: wk -  ls 
Thu Feb 27 16:45:17 2020  -  user: wk -  login 
Thu Feb 27 16:45:18 2020  -  user: wk -  ls 
Thu Feb 27 16:45:25 2020  -  user: wk -  remove folder
Thu Feb 27 16:45:26 2020  -  user: wk -  ls 
Thu Feb 27 16:45:50 2020  -  user: wk -  remove file
Thu Feb 27 16:45:51 2020  -  user: wk -  ls 
Thu Feb 27 16:45:54 2020  -  user: wk -  mkdir folder
Thu Feb 27 16:45:54 2020  -  user: wk -  ls 
Thu Feb 27 16:46:03 2020  -  user: wk -  puts file
Thu Feb 27 16:46:08 2020  -  user: wk -  ls 
Thu Feb 27 16:47:08 2020  -  user: wk -  ls 
Thu Feb 27 16:47:15 2020  -  user: wk -  login 
Thu Feb 27 16:47:16 2020  -  user: wk -  ls 
Thu Feb 27 17:20:05 2020  -  user: wk -  login 
Thu Feb 27 17:20:08 2020  -  user: wk -  ls 
Thu Feb 27 17:20:21 2020  -  user: wk -  cd 
Thu Feb 27 17:20:21 2020  -  user: wk -  ls 
Thu Feb 27 17:20:24 2020  -  user: wk -  ls 
Thu Feb 27 17:45:11 2020  -  user: wk -  login 
Thu Feb 27 17:45:12 2020  -  user: wk -  ls 
Thu Feb 27 17:45:14 2020  -  user: wk -  cd 
Thu Feb 27 18:40:41 2020  -  user: wk -  login 
Thu Feb 27 18:40:42 2020  -  user: wk -  ls 
Thu Feb 27 18:40:44 2020  -  user: wk -  mkdir folder1
Thu Feb 27 18:40:51 2020  -  user: wk -  login 
Thu Feb 27 18:41:18 2020  -  user: wk -  login 
Thu Feb 27 18:41:19 2020  -  user: wk -  ls 
Thu Feb 27 18:41:30 2020  -  user: wk -  puts file1
Thu Feb 27 18:41:32 2020  -  user: wk -  ls 
Thu Feb 27 18:41:47 2020  -  user: wk -  cd 
Thu Feb 27 18:41:47 2020  -  user: wk -  ls 
